City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Karpathos,GR,69.76,clear sky,35.507,27.2132,Alex
309,Gilgit,PK,65.86,few clouds,35.9221,74.3087,Tourist Hamlet Gilgit
315,Awbari,LY,74.62,clear sky,26.5921,12.7805,استراحة الشارب العائلي
317,Serenje,ZM,70.63,few clouds,-13.2325,30.2352,The Kabaso's
322,Moron,AR,74.01,overcast clouds,-34.6534,-58.6198,Hotel Morón
326,Dondo,MZ,74.71,clear sky,-19.6094,34.7431,Pensao Casual
328,Tripoli,LY,74.44,clear sky,32.8752,13.1875,Al Waddan Hotel
330,Quatre Cocos,MU,71.71,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
331,Mareeba,AU,69.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
338,Poum,NC,72.9,broken clouds,-20.2333,164.0167,
341,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
350,Sao Gabriel,BR,68.88,light rain,-30.3364,-54.32,Hotel Obino São Gabriel
351,Benguela,AO,73.6,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
363,Yuli,NG,75.0,light rain,9.6989,10.2744,
364,Nabire,ID,74.71,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
365,Vargem Alta,BR,65.61,overcast clouds,-20.6714,-41.0069,Pousada Mont Serrat
368,Yambio,SS,68.4,light rain,4.5721,28.3955,Naivasha Hotel
372,Arrifes,PT,69.24,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
373,Mafinga,TZ,72.09,clear sky,-7.25,35.0667,
374,San Rafael,AR,65.46,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
375,Keokuk,US,74.08,broken clouds,40.3973,-91.3849,Hampton Inn Keokuk
384,Sabha,LY,74.66,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
388,Inhambane,MZ,71.98,clear sky,-23.865,35.3833,Oceano
398,Katghora,IN,72.68,overcast clouds,22.5,82.55,Mr.K.D. Mahant
402,Meulaboh,ID,74.01,moderate rain,4.1363,96.1285,Kost Pria
405,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
407,Sumbe,AO,73.78,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
418,Aurora,US,69.69,scattered clouds,39.7294,-104.8319,Best Western Plus Gateway Inn & Suites
419,Wattegama,LK,74.26,overcast clouds,6.7989,81.4808,
423,Antalaha,MG,67.59,clear sky,-14.9003,50.2788,Hotel Vitasoa
427,Ikwiriri,TZ,69.67,clear sky,-7.9562,38.9716,Greenland lodge
428,Faya,SA,71.71,scattered clouds,18.3851,42.4509,شيلة نسايم
434,Bowen,AU,73.69,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
442,Marzuq,YE,74.17,scattered clouds,14.4,46.4667,حيد القفلة
444,Rawson,AR,67.86,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
447,Santa Cruz Verapaz,GT,74.16,broken clouds,15.3667,-90.4333,Park Hotel
453,Vila Franca Do Campo,PT,71.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
