City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Smolenka,RU,52.1352,113.4974,28.47,59,40,4.47,scattered clouds
80,Muros,ES,42.7762,-9.0603,69.15,82,97,12.8,overcast clouds
81,Ribeira Grande,PT,38.5167,-28.7,70.2,88,75,4.61,broken clouds
82,Berea,US,41.3662,-81.8543,76.21,41,20,9.22,few clouds
83,Santona,ES,43.4439,-3.4576,66.6,91,0,5.12,clear sky
84,Muisne,EC,0.6,-80.0333,78.06,74,65,11.61,broken clouds
85,Butaritari,KI,3.0707,172.7902,81.79,71,9,20.27,clear sky
86,Grand Gaube,MU,-20.0064,57.6608,72.0,71,69,5.01,broken clouds
87,Leningradskiy,RU,69.3833,178.4167,26.73,87,100,12.12,overcast clouds
88,Upernavik,GL,72.7868,-56.1549,19.15,79,56,5.12,broken clouds
89,Faanui,PF,-16.4833,-151.75,77.59,75,40,26.31,light rain
90,Paamiut,GL,61.994,-49.6678,36.68,93,100,9.64,overcast clouds
91,Neuquen,AR,-38.9516,-68.0591,71.49,17,0,12.66,clear sky
92,Kavieng,PG,-2.5744,150.7967,81.93,77,100,13.22,light rain
93,Fallon,US,39.4735,-118.7774,79.45,15,0,4.61,clear sky
94,Dikson,RU,73.5069,80.5464,30.49,76,92,6.55,overcast clouds
95,College,US,64.8569,-147.8028,44.2,83,75,0.0,broken clouds
96,Norman Wells,CA,65.282,-126.8329,46.44,71,40,13.8,scattered clouds
97,San Patricio,US,28.017,-97.5169,89.69,33,48,8.77,scattered clouds
98,Porto Santo,PT,33.072,-16.3415,71.98,64,40,13.8,scattered clouds
99,Viedma,AR,-40.8135,-62.9967,73.51,24,19,15.3,few clouds
100,Imbituba,BR,-28.24,-48.6703,65.68,76,63,9.26,broken clouds
101,Ribnitz-Damgarten,DE,54.25,12.4667,60.13,100,0,15.03,clear sky
102,Komsomolskiy,UZ,40.4272,71.7189,54.32,40,91,6.91,overcast clouds
103,Mecca,SA,21.4267,39.8261,85.82,37,0,4.38,clear sky
104,Merauke,ID,-8.4667,140.3333,77.92,90,100,10.98,overcast clouds
105,Helena,US,46.5927,-112.0361,71.26,55,0,1.99,clear sky
106,Carballo,ES,43.213,-8.691,63.07,94,100,9.73,overcast clouds
107,Harper,LR,4.375,-7.7169,76.57,90,97,7.31,overcast clouds
